Time,TemperatureF,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_Direction,Wind_SpeedMPH,Conditions,WindDirDegrees,date,hour,Precipitation_flag
2016-01-01 00:51:00,42.1,25.0,51,30.06,10.0,Variable,4.6,Overcast,0,2016-01-01,0,1
2016-01-01 01:51:00,41.0,25.0,53,30.06,10.0,Variable,3.5,Overcast,0,2016-01-01,1,1
2016-01-01 02:51:00,41.0,26.1,55,30.06,10.0,West,4.6,Overcast,280,2016-01-01,2,1
2016-01-01 03:51:00,41.0,26.1,55,30.06,10.0,West,9.2,Overcast,280,2016-01-01,3,1
2016-01-01 04:51:00,39.9,26.1,58,30.04,10.0,West,10.4,Overcast,270,2016-01-01,4,1
2016-01-01 05:51:00,39.9,26.1,58,30.05,10.0,WNW,6.9,Overcast,290,2016-01-01,5,1
2016-01-01 06:51:00,39.0,26.1,60,30.06,10.0,Calm,0.0,Overcast,0,2016-01-01,6,1
2016-01-01 07:51:00,39.0,25.0,57,30.05,10.0,West,6.9,Overcast,280,2016-01-01,7,1
2016-01-01 08:51:00,39.0,24.1,55,30.06,10.0,West,6.9,Partly Cloudy,260,2016-01-01,8,0
2016-01-01 09:51:00,39.9,25.0,55,30.06,10.0,WNW,4.6,Overcast,290,2016-01-01,9,1
2016-01-01 10:51:00,39.9,24.1,53,30.05,10.0,Variable,5.8,Overcast,0,2016-01-01,10,1
2016-01-01 11:51:00,39.9,23.0,51,30.02,10.0,West,9.2,Overcast,270,2016-01-01,11,1
2016-01-01 12:51:00,39.9,23.0,51,29.99,10.0,West,13.8,Overcast,280,2016-01-01,12,1
2016-01-01 13:51:00,39.9,23.0,51,29.97,10.0,Variable,6.9,Overcast,0,2016-01-01,13,1
2016-01-01 14:51:00,39.0,21.0,49,29.98,10.0,WNW,11.5,Overcast,290,2016-01-01,14,1
2016-01-01 15:51:00,39.0,19.9,46,29.97,10.0,North,11.5,Overcast,0,2016-01-01,15,1
2016-01-01 16:51:00,37.9,19.9,48,29.97,10.0,West,11.5,Clear,280,2016-01-01,16,0
2016-01-01 17:51:00,37.9,19.9,48,29.99,10.0,WNW,8.1,Clear,300,2016-01-01,17,0
2016-01-01 18:51:00,37.0,19.9,50,30.0,10.0,WNW,12.7,Partly Cloudy,290,2016-01-01,18,0
